word,class,level,sentence,word_mean
government,noun,a2,The government?,the group of people who officially control a country :
grab,verb,b2,"Grab him! | Once again, immunity is back up for grabs.",to take hold of something or someone suddenly and roughly :
grade,verb,b2,What grade are you in?,"a level of quality , size , importance , etc.:"
gradually,adverb,b2,Gradually.,slowly over a period of time or a distance :
graduate,noun,b1,Graduate school.,a person who has a first degree from a university or college :
grain,noun,b1,For amber waves of grain,"a seed or seeds from a plant , especially a plant like a grass such as rice or wheat :"
grand,adjective,b2,Grand.,important and large in degree :
grandfather,noun,a1,Grandfather!,the father of a person's mother or father :
grandmother,noun,a1,Grandmother!,the mother of a person's father or mother :
grandparent,noun,a1,Grandparents?,the father or mother of a person's father or mother
grant,noun,b2,Grant.,an amount of money given especially by the government to a person or organization for a special purpose :
grass,noun,a2,Grass.,"a low , green plant that grows naturally over a lot of the earth's surface , having groups of very thin leaves that grow close together in large numbers :"
grateful,adjective,b1,I'm grateful.,"showing or expressing thanks , especially to another person :"
great,adjective,a1,Great.,"large in amount , size , or degree :"
green,noun,a1,Green.,of a colour between blue and yellow ; of the colour of grass :
greet,verb,a2,Greet him.,"to welcome someone with particular words or a particular action , or to react to something in the stated way:"
grey,adjective,a1,Grey.,"of the colour that is a mixture of black and white , the colour of rain clouds :"
ground,noun,a2,On what grounds? | On the ground!,the gardens and land that surround a building and often have a wall or fence around them: | the surface of the earth:
group,noun,a1,"In the criminal justice system the people are represented by two separate yet equally important groups, the police who investigate crime and the district attorneys who prosecute the offenders. | Subtitles by SDI Media Group",a number of people or things that are put together or considered as a unit :
grow,verb,a1,The hour grows late. | Grow up.,"to increase in size or amount , or to become more advanced or developed :"
growth,noun,b1,"In China, Lau Security Investments stands for dynamic new growth.","The growth of a person , animal , or plant is its process of increasing in size :"
guarantee,noun,b2,I guarantee it.,"a promise that something will be done or will happen , especially a written promise by a company to repair or change a product that develops a fault within a particular period of time :"
guard,noun,b1,Guard! | Guards!,"a person or group of people whose job is to protect a person , place , or thing from danger or attack , or to prevent a person such as a criminal from escaping : | used in the name of several important regiments (= units ) in an army :"
guess,noun,a1,I guess.,to give an answer to a particular question when you do not have all the facts and so cannot be certain if you are correct :
guest,noun,a2,Guests? | Be my guest.,"a person who is staying with you, or a person you have invited to a social occasion , such as a party or a meal :"
guide,verb,a2,lllustrated Guide to Soul Reapers!,a book that gives you the most important information about a particular subject :
guilty,adjective,b1,Guilty.,"feeling worried or unhappy because you have done something wrong , such as causing harm to another person :"
guitar,noun,a1,Guitar.,"a musical instrument , usually made of wood , with six strings and a long neck , played with the fingers or a plectrum :"
gun,noun,a2,Give me the gun. | Guns.,a weapon that bullets or shells (= explosive containers ) are fired from: | arms with large muscles :
guy,noun,a2,"Who is this guy? | Hey, guys.",a man: | used to address a group of people of either sex :
gym,noun,a1,The gym.,"a place or club where you can go to exercise using machines , weights , and other equipment :"
habit,noun,a2,Old habits die hard. | Force of habit.,"something that you do often and regularly , sometimes without knowing that you are doing it:"
hair,noun,a1,Your hair. | Don't split hairs.,"the mass of thin thread-like structures on the head of a person , or any of these structures that grow out of the skin of a person or animal :"
half,adverb,a2,Half.,either of the two equal or nearly equal parts that together make up a whole :
hall,noun,a2,Deck the halls with boughs of holly | Down the hall.,"the area just inside the main entrance of a house , apartment , or other building that leads to other rooms and usually to the stairs :"
hand,verb,b1,Hands up! | Give me your hand.,"the part of the body at the end of the arm that is used for holding , moving , touching , and feeling things:"
handle,noun,b2,I can handle it.,"a part of an object designed for holding , moving , or carrying the object easily :"
hang,verb,b1,Their courage hangs by a thread. | Hang on.,"to fasten or support something at the top leaving the other parts free to move , or to be held in this way:"
happen,verb,a1,How did this happen? | It happens.,(of a situation or an event ) to have existence or come into existence :
happily,adverb,a2,And they lived happily ever after.,in a happy way:
happiness,noun,b1,Happiness.,the feeling of being happy :
happy,adjective,a1,Happy birthday.,"feeling , showing , or causing pleasure or satisfaction :"
hard,adjective,a1,It's hard to say.,"not easy to bend , cut , or break :"
hardly,adverb,b1,Hardly.,only just; almost not:
harm,noun,b2,No harm done.,physical or other injury or damage :
hat,noun,a1,Nice hat. | She hates me. | Hats off!,a covering for the head that is not part of a piece of clothing : | to dislike someone or something very much:
hate,noun,b1,I hate you!,to dislike someone or something very much:
have,verb,a1,Where have you been?,used with the past participle of other verbs to form the present perfect and past perfect :
he,pronoun,a1,Where is he?,"used as the subject of a verb to refer to a man, boy , or male animal that has already been mentioned :"
head,noun,a1,Heads. | Watch your head.,"the side of a coin that has a picture of someone's head on it: | the part of the body above the neck where the eyes , nose , mouth , ears , and brain are:"
headache,noun,a2,I have a headache.,a pain you feel inside your head :
health,noun,a1,To your health.,"the condition of the body and the degree to which it is free from illness , or the state of being well:"
healthy,adjective,a1,It's not healthy.,strong and well:
hear,verb,a1,"Can you hear me? | When the new DA hears about this, he'll want in.",to receive or become conscious of a sound using your ears :
hearing,noun,b2,You're not hearing me.,an official meeting that is held to collect the facts about an event or problem :
